patient_id,name,email,ssn,diagnosis,country
439,FJRCO,fjrco@example.com,313-92-8421,Cancer,UK
440,ENMCV,enmcv@example.com,854-76-1363,Diabetes,Canada
441,WZJAO,wzjao@example.com,147-70-2807,Diabetes,Canada
442,LNAUE,,587-80-7346,Cancer,India
443,YQCLT,yqclt@example.com,363-14-1194,Cancer,India
444,XIOBW,xiobw@example.com,238-90-7935,Flu,USA
445,TICZJ,ticzj@example.com,528-61-6338,Asthma,UK
446,MDZWA,mdzwa@example.com,467-82-5858,Asthma,USA
447,VOVER,vover@example.com,708-64-8539,Diabetes,USA
448,WIKVL,,915-41-1161,Diabetes,USA
449,YFGAY,yfgay@example.com,465-96-5601,Flu,India
450,AWTHH,awthh@example.com,348-93-3088,Flu,Canada
451,ORFWZ,,111-30-2997,Asthma,Canada
452,OLBIW,olbiw@example.com,681-92-6316,Diabetes,Australia
453,DBCNS,dbcns@example.com,273-35-9912,Cancer,UK
454,ZQLUD,,164-31-5559,Hypertension,Canada
455,TQNCH,,157-63-9036,Flu,USA
456,WXTLG,wxtlg@example.com,555-54-2169,Asthma,Australia
457,SLPSN,slpsn@example.com,337-38-7631,Cancer,Canada
458,AHZVB,ahzvb@example.com,266-55-2417,Cancer,Australia
459,YCTEB,ycteb@example.com,237-74-8971,Diabetes,UK
460,EXGGW,exggw@example.com,623-34-5284,Hypertension,Canada
461,SVQFL,svqfl@example.com,960-64-5838,Asthma,India
462,YVVEP,yvvep@example.com,524-79-2760,Cancer,USA
463,UAJNV,uajnv@example.com,204-40-1975,Cancer,UK
464,NQYXU,nqyxu@example.com,703-16-4935,Flu,India
465,JKPIF,,844-32-5556,Hypertension,UK
466,VHVNP,,937-16-6372,Hypertension,Canada
467,ZULSV,zulsv@example.com,423-75-4588,Asthma,UK
468,NFHJG,,331-24-1923,Cancer,UK
469,SHRXG,shrxg@example.com,496-40-9245,Hypertension,Australia
470,OMYCV,omycv@example.com,690-28-2838,Diabetes,USA
471,HIDLG,hidlg@example.com,162-64-4648,Cancer,Canada
472,KHTQF,khtqf@example.com,342-77-8093,Diabetes,UK
473,SAMFH,samfh@example.com,631-29-4526,Hypertension,Australia
474,ANNSO,annso@example.com,417-50-5297,Diabetes,India
475,NWYBC,nwybc@example.com,744-53-8416,Cancer,UK
476,FMJYO,,836-60-8995,Hypertension,UK
477,AJDMU,ajdmu@example.com,339-83-4753,Diabetes,USA
478,DPTYK,dptyk@example.com,327-12-2237,Flu,USA
479,VSURQ,vsurq@example.com,996-86-6386,Diabetes,India
480,OBWLZ,obwlz@example.com,640-65-6103,Asthma,Canada
481,SJCNN,sjcnn@example.com,328-27-9455,Asthma,USA
482,ZRXPY,zrxpy@example.com,834-32-6542,Asthma,Canada
483,HYAZG,hyazg@example.com,881-82-3690,Hypertension,Australia
484,JVDCC,jvdcc@example.com,946-21-7631,Cancer,Australia
485,TEAWG,teawg@example.com,499-50-5082,Diabetes,USA
486,HZBMH,hzbmh@example.com,143-45-1266,Hypertension,USA
487,YHPSL,yhpsl@example.com,864-51-3308,Asthma,USA
488,ONTFS,ontfs@example.com,297-86-7081,Diabetes,India
489,ZRHYK,zrhyk@example.com,830-54-1105,Cancer,USA
490,WPKMD,wpkmd@example.com,675-40-6451,Hypertension,India
491,OCHTD,ochtd@example.com,589-42-4808,Cancer,India
492,ATXDH,atxdh@example.com,778-71-8451,Cancer,USA
493,RJQOG,rjqog@example.com,917-63-6365,Cancer,USA
494,ZHVWF,zhvwf@example.com,364-99-2957,Diabetes,Australia
495,TOEUL,toeul@example.com,488-33-4769,Cancer,USA
496,CTEJR,ctejr@example.com,310-38-7675,Cancer,India
497,BIANK,biank@example.com,497-47-9893,Hypertension,UK
498,UKFBM,ukfbm@example.com,681-86-6632,Cancer,India
499,AQPRS,aqprs@example.com,212-48-7398,Asthma,Canada
500,GMSAM,gmsam@example.com,699-48-2948,Asthma,UK
